type,name,label::English,label::Arabic,relevant,constraint,required,repeat_count,constraint_message:English,constraint_message::Arabic,read_only,appearance,choice_filter,default,calculation,hint::English,hint::Arabic
select_one yes_no,displace_status_returnee,10. Have you been displaced from this location since January 2014?,?? ??? ?????? ?? ??? ?????? ??? ????? ?????? 2014?,"selected(${displace_status}, 'yes')",,yes,,,,,,,,,,
note,note_returnee,This household is a returnee household.,??? ?????? ?????,"selected(${displace_status_returnee}, 'yes')",,,,,,,,,,,,
note,note_host,This household is part of the host community.,??? ?????? ?? ??????? ??????,"selected(${displace_status_returnee}, 'no')",,,,,,,,,,,,
select_one yes_no,displace_status_idp,11. Did you move to this location because of the conflict?,?? ??????? ??? ??? ?????? ???? ???????,"selected(${displace_status}, 'no')",,yes,,,,,,,,,,
note,note_idp,This household is an IDP household.,??? ?????? ?? ???? ?????,"selected(${displace_status_idp}, 'yes')",,,,,,,,,,,,
note,note_inelegible,This household is not eligible for the MCNA - please end the survey and find an eligible household in the targeted category. Please cancel this form and move to the next household.,??? ?????? ??? ????? ?????????. ?????? ????? ????????? ?????? ?? ???? ???? ??? ?????? ????????,"selected(${displace_status_idp}, 'no')",,,,,,,,,,,,
calculate,calc_idp,,,,,,,,,,,,,"if(selected(${displace_status_idp}, 'yes'), 1,0)",,
calculate,calc_returnee,,,,,,,,,,,,,"if(selected(${displace_status_returnee}, 'yes'), 1,0)",,
calculate,calc_host,,,,,,,,,,,,,"if(selected(${displace_status_returnee}, 'no'), 1,0)",,
calculate,calc_noteligible,,,,,,,,,,,,,"if(selected(${displace_status_idp}, 'no'), 1,0)",,
date,return_date_returnee,12. When did you return to this location after your most recent incidence of displacement?,??? ???? ??? ??? ?????? ??? ??? ???? ???,${calc_returnee} = 1,. <=today(),yes,,,,,month-year,,,,,
integer,return_durationdisplace,13. For how many months were you displaced? ,?? ??? ?????? ???? ???? ???? ???????,${calc_returnee} = 1,.>=0 and .<=66,yes,,,,,,,,,The answer has to be between 0 and 60 months,??? ?? ???? ?????? ??? 0 ? 60 ????
date,displace_date_idp,14. When were you initially displaced from your location? ,??? ????? ?? ????? ?? ??????? ??? ????,${calc_idp} = 1,. <=today() and . >= date('2014-01-01'),yes,,Date cannot be before 01/01/2014,?? ???? ?? ???? ??????? ??? 01/01/2014,,month-year,,,,,
select_one yes_no,idp_first_place,15. Is this location your first place of displacement? ,?? ??? ?????? ?? ??? ???? ?????? ???,${calc_idp} = 1,,yes,,,,,,,,,Place of displacement should not include transit areas. Displacement implies settling down somewhere (in or out of camp).,?? ???? ????? ?????? ?? ????? ????? ( ????????? ????). ????? ??? ?? ???? ?? ????????? ??? ( ???? ?? ???? ??????)
date,arrival_date_idp,16. When did you arrive to this current location? ,??? ???? ??? ????? ???????,${calc_idp} = 1,. <=today() and .>=${displace_date_idp},yes,,,,,month-year,,,,,
select_one governorate_mcna,governorate_origin,17. What governorate in Iraq were you living in before your displacement (forced to leave your home)?,?? ?? ?????? ?? ?????? ??? ???? ??? ?????? ( ??? ??????? ??? ?????? ??????),${calc_idp} = 1,,yes,,,,,,,,,,
select_one district_mcna,district_origin,18. What district in Iraq were you living in before your displacement?,?? ?? ???? ??? ???? ??? ??????,${calc_idp} = 1,,yes,,,,,,filter=${governorate_origin},,,,
select_one yndd,displaced_again,"19. Have you been back to your AoO or tried to go back, but then decided to displace again in the 12 months prior?",?? ???? ??? ?????? ????? ?? ????? ?????? ????? ???? ????? ?????? ??? ???? ???? ??12 ???? ????????,${calc_idp} = 1,,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,intentions,Intention survey,???????,${calc_noteligible} = 0,,,,,,,,,,,,
select_one intention,movement_intentions,20. What are your household's current movement intentions for the next three months?,???? ????? ???????? ??????? ??????? ?????? ???? ?????? ??????? ????????,${calc_idp} = 1,,yes,,,,,,,,,,
select_one intention_nonidp,movement_intentions_b,21. What are your household's current movement intentions for the next three months?,???? ????? ???????? ??????? ??????? ?????? ???? ?????? ??????? ????????,"${calc_returnee} = 1
",,yes,,,,,,,,,,
select_one intention_nonidp,movement_intentions_b12,22. What are your household's current movement intentions for the next twelve months? ,???? ????? ???????? ??????? ??????? ?????? ???? ?????? ??12 ????????,"${calc_returnee} = 1
",,,,,,,,,,,,
select_one intention_ret,movement_intentions_ret,23. What are the main reasons you would consider displacement again?,???? ??????? ???????? ???? ?? ????? ???? ??????? ??? ?????,"${calc_returnee} = 1 and not(selected(${movement_intentions_b}, 'remain'))",,yes,,,,,,,,,,
select_one intentions12,movement_intentions12,24.0 What are your household's current movement intentions for the next 12 months?,???? ????? ???????? ??????? ??????? ?????? ???? ?????? ??12 ????????,"${calc_idp} = 1 and not(selected(${movement_intentions},'return'))",,yes,,,,,,,,,,
select_multiple reasons_return,reason_to_return_to_aoo,24.1 What are the main reasons why you currently intend to return to your area of origin? (Select max 3),???? ??????? ???????? ???? ????? ????? ???? ??????? ??? ?????? ???????? ( ??? ????? ??? ??? ????),"${calc_idp} = 1 and selected(${movement_intentions12}, 'return') or selected(${movement_intentions},'return')",count-selected(.)<=3,yes,,You cannot select more than 3 options.,?? ???? ????? ???? ?? 3 ??????,,,,,,,
select_multiple ox8ul79,why_not_return,"24.2 If not intending to return within the next year, why not? (select max. 3)",??? ?? ??? ???? ?????? ??? ????? ????? ???? ????? ???????? ???? ??? ???? ( ??? 3 ??? ????),"${calc_idp} = 1 and not(selected(${movement_intentions}, 'return')) and not(selected(${movement_intentions12},'return'))","if(selected(.,'do_not_know') or selected(.,'decline_to_answer'), count-selected(.)=1, count-selected(.)<=3)",yes,,"You cannot select more than 3 options. You cannot select ""do not know"" or ""decline to answer"" and any other options.",?????? ????? ?? ???? ?? ???? ???,,,,,,,?? ??? ???? ?? ???? ???????? ?????? ???? ????
end group,,,,,,,,,,,,,,,,
begin group,household_roster,Household Roster,??????? ???????,${calc_noteligible} = 0,,,,,,,,,,,,
integer,num_hh_member,38. How many members are there in your household?,?? ??? ????? ???????,,.> 0,yes,,,,,,,,,"A household is a group of people who regularly share meals, income, and expenditures together. Members must acknowledge the authority of one person as head of household and that person must actually live with the rest of the household members. In polygamous households, each wife is treated as a distinct household when the wives live in different houses, cook separately and take decisions independently.",
note,ind_level,"I will now ask you some questions regarding each individual of your family. We define family to include anyone who is under guardianship or responsibility of this family (e.g. separated or unaccompanied children, grandparents)? **Please start with the head of your family and please don't forget to include yourself!**",??? ???? ???? ???? ??? ??????? ????? ?? ??? ?? ????? ??????. ??? ????? ??????? ?? ??? ????????? ???????? ??????? ??????? ??????? ????? ?? ??? ????? ?? ??????? ??? ??????? ( ???? : ??????? ????? ??????? ?? ????????? ?? ???????)  **?????? ????? ??? ??????? ??? ???? ?? ????? ???? ?????.**,,,,,,,,,,,,,
integer,num_family_member,39. How many members are there in your family?,?? ??? ????? ??????? ( ??????? ??????? ????? ?? ??? ????? ?? ??????? ??? ??????? ( ???? : ??????? ????? ??????? ?? ????????? ?? ???????)?,,.> 0,yes,,,,,,,,,"A group of two parents and their children living together as a unit, as well as any individuals under the guardianship or responsibility of this family.
If the respondent is not the head of household make sure the head of household is included in the roster.",??? ?? ??? ??????  ?? ?? ???????  ??? ????? ??  ????? ??????? ?? ?????? ??? ??? ???????? ????
begin group,composition,Family Composition,????? ??????,,,,,,,,,,,,,
begin repeat,member,Add a new group for each family member.,??? ?????? ????? ??? ??? ?? ??????? ??????? ??????? ????? ?? ??? ????? ?? ??????? ??? ??????? ( ???? : ??????? ????? ??????? ?? ????????? ?? ???????),,,yes,${num_family_member},,,,,,,,,
select_one relationship,relationship,40. What is [this person]'s relation to the head of household?,???? ??? ????? ??? ????? ??? ???????,,,yes,,,,,quick,,,,,
begin group,error_start,Is not an error,,"not(selected(${relationship}, 'error'))",,yes,,,,,,,,,,
select_one gender,sex,41. What is the sex of [this person]?,???? ??? ??? ??????,,,yes,,,,,quick,,,,,
integer,age,42. What is the age of [this person]? ,?? ?? ??? ??? ??????,,.< 120,yes,,,,,,,,,,
select_one marital_status,marital_status,"43. What is [this person]'s marital status, including customary marriage? ",???? ?????? ?????????? ???? ????? ...?????? ????????? ??????? ???? ????????,${age} >= 12,,yes,,,,,quick,,,,,
select_one ynd,pregnant_lactating,44. Is the person pregnant or lactating?,?? ????? ???? ?? ??????,"selected(${sex} , 'female') and (${age} >= 12 and ${age} <= 50)",,yes,,,,,quick,,,,,
select_multiple health_events,health_issue,"45.0 In the past 30 days, did the person suffer from any of the following health conditions? ",???? ?????? ??30 ???????? ?? ???? ??? ????? ?? ?? ?? ??????? ?????? ????????,,"if(selected(.,'none'), count-selected(.)=1, count-selected(.)>=1)",yes,,,,,,,,,,
text,health_issue_other,"45.1 if other, please describe","??? ???? ???? ????,  ?????? ?????","selected(${health_issue}, 'other')",,yes,,,,,,,,,,
begin group,disabilities,46.0 Which difficulties does [this person] have?,???? ???????? ???? ??????? ??? ??????,${age} >= 5,,,,,,,field-list,,,,,
select_one wgss,difficulty_seeing,"46.1 Does [this person] have difficulty seeing, even if wearing glasses?",?? ??? ??? ????? ????? ?? ?????? (???????)? ??? ??? ??? ?????? ?,,,yes,,,,,,,,,,
select_one wgss,difficulty_hearing,"46.2 Does [this person] have difficulty hearing, even if using a hearing aid?",?? ????? [??? ?????] ????? ?? ????? ? ??? ?? ??? ?????? ???? ?????? ??????,,,yes,,,,,,,,,,
select_one wgss,difficulty_walking,46.3 Does [this person] have difficulty walking or climbing steps?,  ?? ????? [??? ?????] ????? ?? ????? ?? ???? ???????,,,yes,,,,,,,,,,
select_one wgss,difficulty_remembering,46.4 Does [this person] have difficulty remembering or concentrating?,  ?? ????? [??? ?????] ????? ?? ?????? ?? ????????,,,yes,,,,,,,,,,
select_one wgss,difficulty_washing,"46.5 Does [this person] have difficulty with (self-care, such as) washing all over or dressing?",  ?? ????? [??? ?????] ????? ?? (??????? ??????? ? ???) ???????? ?? ?????? ????????,,,yes,,,,,,,,,,
select_one wgss,difficulty_communicating,"46.6 Using your usual (customary) language, does [this person] have difficulty communicating, for example understanding or being understood?",  ???????? ???? (????????) ? ?? ????? [??? ?????] ????? ?? ??????? ? ??? ???? ?????? ????? ?? ???????,,,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
select_one yndd,disab_explos,"47. Is [this person's] difficulty related to an explosive hazard (i.e. mines, UXO, IED)?",?? ????? ??? ????? ?????? ?????? ?????? (??? ??????? ? ??????? ??? ???????? ? ??????? ???????)?,"(selected(${difficulty_seeing},'a_lot_of_difficulty') or selected(${difficulty_seeing},'cannot_do_at_all') or selected(${difficulty_hearing},'a_lot_of_difficulty') or selected(${difficulty_hearing},'cannot_do_at_all') or selected(${difficulty_walking},'a_lot_of_difficulty') or selected(${difficulty_walking},'cannot_do_at_all') or selected(${difficulty_remembering},'a_lot_of_difficulty') or selected(${difficulty_remembering},'cannot_do_at_all') or selected(${difficulty_washing},'a_lot_of_difficulty') or selected(${difficulty_washing},'cannot_do_at_all') or selected(${difficulty_communicating},'a_lot_of_difficulty') or selected(${difficulty_communicating},'cannot_do_at_all')) and (${age} >= 5)",,yes,,,,,quick,,,,,
select_one yes_no,difficulty_accessing_services,"Does [this person] face difficulties in accessing any basic services (e.g education, health clinics, markets, etc.)",?? ????? ??? ????? ?????? ?? ?????? ??? ?? ????? ?????? (??? ??????? ????????? ?????? ???????? ??? ??? ???),"(selected(${difficulty_seeing},'a_lot_of_difficulty') or selected(${difficulty_seeing},'cannot_do_at_all') or selected(${difficulty_hearing},'a_lot_of_difficulty') or selected(${difficulty_hearing},'cannot_do_at_all') or selected(${difficulty_walking},'a_lot_of_difficulty') or selected(${difficulty_walking},'cannot_do_at_all') or selected(${difficulty_remembering},'a_lot_of_difficulty') or selected(${difficulty_remembering},'cannot_do_at_all') or selected(${difficulty_washing},'a_lot_of_difficulty') or selected(${difficulty_washing},'cannot_do_at_all') or selected(${difficulty_communicating},'a_lot_of_difficulty') or selected(${difficulty_communicating},'cannot_do_at_all')) and (${age} >= 5)",,yes,,,,,quick,,,,,
select_one why_difficulty,why_difficulty,"48.1 If yes, what is the main reason preventing them to access services? ",??? ???? ???? ????? ??????? ???? ???? ??? ????? ?? ?????? ??? ????????,"selected(${difficulty_accessing_services},'yes')",,yes,,,,,quick,,,,,
text,why_difficulty_other,"48.2 if other, please describe",??? ????? ?????? ???????,"selected(${why_difficulty}, 'other')",,yes,,,,,,,,,,
select_one yndd,attend_formal_ed,49. Is the person (6-17) currently attending school? (during school season),?? ????? ??? ????? (6-17 ???) ??????? ?????? ?????? (???? ?????? ???????),(${age} >= 6 and ${age} <= 17),,yes,,,,,,,,,,
select_one yndd,attend_informal_ed,50. Is the person (6-17) currently attending a non-formal learning environment at least 3 days per week? (during school season),?? ????? ??? ????? (6-17 ???) ???????  ????? ???? ????? ??? ????? 3 ???? ???????? (???? ?????? ???????),"not(selected(${attend_formal_ed}, 'yes'))  and (${age} >= 6 and ${age} <= 17)",,yes,,,,,,,,,,
select_one yndd,ever_attend,51. Has the person (6-17) ever attended school?,?? ????? ????? (???6-17) ??????? ?? ????,"selected(${attend_formal_ed}, 'no') and (${age} >= 6 and ${age} <= 17)",,yes,,,,,,,,,,
date,drop_out,52. In what month and year did this person stop attending school? ,?? ?? ??? ???? ???? ??? ????? ?? ?????? ????????,"selected(${ever_attend}, 'yes') and (${age} >= 6 and ${age} <= 17)",,yes,,,,,month-year,,,,,
select_one yes_no,work,53. Is [this person] currently working or contributing to household income?,?? ???? ??? ????? ?????? ?? ????? ?? ????? ???????,${age} >= 6,,yes,,,,,,,,,,
select_one ynd,actively_seek_work,54. Is [this person] actively seeking work?,?? ???? ??? ????? ????? ?????? ??? ????,"selected(${work}, 'no') and ${age}>=18",,yes,,,,,,,,,,
calculate,male_2,,,,,,,,,,,,,"if(${age} <= 2 and ${sex}='male', 1,0)",,
calculate,female_2,,,,,,,,,,,,,"if(${age} <= 2 and ${sex}='female', 1,0)",,
calculate,male_3_5,,,,,,,,,,,,,"if(${age} >= 3 and ${age} <= 5 and ${sex}='male', 1,0)",,
calculate,female_3_5,,,,,,,,,,,,,"if(${age} >= 3 and ${age} <= 5 and ${sex}='female', 1,0)",,
calculate,male_6_17,,,,,,,,,,,,,"if(${age} >= 6 and ${age} <= 17 and ${sex}='male', 1,0)",,
calculate,female_6_17,,,,,,,,,,,,,"if(${age} >= 6 and ${age} <= 17 and ${sex}='female', 1,0)",,
calculate,male_18_59,,,,,,,,,,,,,"if(${age} >= 18  and ${age} <= 59 and ${sex}='male', 1,0)",,
calculate,female_18_59,,,,,,,,,,,,,"if(${age} >= 18  and ${age} <= 59 and ${sex}='female', 1,0)",,
calculate,male_60,,,,,,,,,,,,,"if(${age} >= 60 and ${sex}='male', 1,0)",,
calculate,female_60,,,,,,,,,,,,,"if(${age} >= 60 and ${sex}='female', 1,0)",,
calculate,separated,,,,,,,,,,,,,"if(${relationship}='nephew_niece', 1,0)",,
calculate,child_012,,,,,,,,,,,,,"if(${age} >0 and ${age} <= 12, 1,0)",,
calculate,child_1317,,,,,,,,,,,,,"if(${age} >=13 and ${age} <= 17, 1,0)",,
calculate,child,,,,,,,,,,,,,"if(${age} >0 and ${age} <= 17, 1,0)",,
calculate,child_not_school,,,,,,,,,,,,,"if(${age} >=6 and ${age} <= 17 and selected(${attend_formal_ed}, 'no'), 1,0)",,
calculate,adult_no_work,,,,,,,,,,,,,"if(selected(${work}, 'no') and selected(${actively_seek_work}, 'yes') and ${age}>=18,1,0)",,
end_group,,,,,,,,,,,,,,,,
end repeat,member_end,,,,,,,,,,,,,,,
end group,composition_end,,,,,,,,,,,,,,,
calculate,male_2_calc,,,,,,,,,,,,,sum(${male_2}),,
calculate,female_2_calc,,,,,,,,,,,,,sum(${female_2}),,
calculate,male_3_5_calc,,,,,,,,,,,,,sum(${male_3_5}),,
calculate,female_3_5_calc,,,,,,,,,,,,,sum(${female_3_5}),,
calculate,male_6_17_calc,,,,,,,,,,,,,sum(${male_6_17}),,
calculate,female_6_17_calc,,,,,,,,,,,,,sum(${female_6_17}),,
calculate,male_18_59_calc,,,,,,,,,,,,,sum(${male_18_59}),,
calculate,female_18_59_calc,,,,,,,,,,,,,sum(${female_18_59}),,
calculate,male_60_calc,,,,,,,,,,,,,sum(${male_60}),,
calculate,female_60_calc,,,,,,,,,,,,,sum(${female_60}),,
note,calc_note,"Total male children 2 or under: ${male_2_calc}
Total female children 2 or under: ${female_2_calc}
Total male children 3 to 5: ${male_3_5_calc}
Total female children 3 to 5: ${female_3_5_calc}
Total male children 6 to 17: ${male_6_17_calc}
Total female children 6 to 17: ${female_6_17_calc}
Total male adults 18 to 59: ${male_18_59_calc}
Total female adults 18 to 59: ${female_18_59_calc}
Total male adults 60 and over: ${male_60_calc}
Total female adults 60 and over: ${female_60_calc}",,,,,,,,,,,,,,
calculate,tot_child_012,,,,,,,,,,,,,sum(${child_012}),,
calculate,tot_child_1317,,,,,,,,,,,,,sum(${child_1317}),,
calculate,tot_child,,,,,,,,,,,,,sum(${child}),,
calculate,tot_male,,,,,,,,,,,,,sum(${male_2})+sum(${male_3_5})+sum(${male_6_17})+sum(${male_18_59})+sum(${male_60}),,
calculate,tot_female,,,,,,,,,,,,,sum(${female_2})+sum(${female_3_5})+sum(${female_6_17})+sum(${female_18_59})+sum(${female_60}),,
calculate,tot_6_above,,,,,,,,,,,,,(${male_6_17_calc} + ${female_6_17_calc} + ${male_18_59_calc} + ${female_18_59_calc} + ${male_60_calc} + ${female_60_calc}),,
note,tot_calc_note,"Total number of male: ${tot_male}
Total number of female: ${tot_female}","????? ??? ?????? ${tot_male}
????? ??? ?????? ${tot_female}",,,,,,,,,,,,,
calculate,calc_separated,,,,,,,,,,,,,sum(${separated}),,
note,ref_child,There may be one or more separated or unaccompanied children living in this household. Please refer to the appropiate actor.,?? ???? ???? ??? ???? ?? ???? ?? ??????? ????????? ?? ????? ?????? ?????? ?? ??? ??????. ???? ?????? ??? ?????? ???????.,${calc_separated} >0,,,,,,,,,,,,
select_multiple reasons_not_attend,reasons_not_attend,"56.0 If one of the persons (6-17) does not attend school, what were the reasons? ",??? ?? ???? ??? ??????? (6-17 ??? ) ??? ??????? ? ???? ???? ????? ????,sum(${child_not_school})>=1,,yes,,,,,,,,,,
select_one ynd1,no_school_no_docs,"55. For those children not attending school, was it because of lack of civil documentation?",??????? ?????? ??????? ????? ?? ??????? ???????? ? ?? ??? ??? ???? ??? ??????? ????????,sum(${child_not_school})>=1,,yes,,,,,,,,,,
text,resons_not_attend_other,"56.1 if other, please describe",??? ????? ?????? ???????,"selected(${reasons_not_attend}, 'other')",,yes,,,,,,,,,,
select_multiple employment_barrires,employment_primary_barriers,"57.0 What obstacles, if any, are people in this household facing in finding work?",  ?? ?? ??????? ? ?? ???? ? ???? ??????? ????? ??? ?????? ?? ?????? ??? ????,sum(${adult_no_work})>=1,,yes,,,,,,,,,,
text,employment_primary_barriers_other,"57.1 if other, please describe",??? ???? ?????? ?????,"selected(${employment_primary_barriers}, 'other')",,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,protection,Protection survey,???????,${calc_noteligible} = 0,,,,,,,,,,,,
select_one yndd,hh_dispute,"25. Is the property you are currently living in, or own elsewhere, under any kind of dispute? ",?? ??????? ???? ???? ???? ?????? ?? ?????? ?? ???? ??? ??? ?? ??? ?? ????? ???????,,,yes,,,,,,,,,A dispute is if someone is contesting ownership over the property.,?????? ?? ??? ????? ??? ?? ?????? ??? ????? ??????
select_one property_damaged,property_damaged,"26.0 Was housing, land or property that you own damaged during the conflict?", ?? ????? ??????? ?? ????? ?? ????????? ???? ??? ??????? ????? ???????,,,yes,,,,,,,,,,
select_one yes_no,applied_compensation,"26.1 Have you applied for housing, land or property compensation?",?? ????? ???? ?????? ??? ????? ?? ????? ?? ????? ?? ???????,"selected(${property_damaged},'yes')",,yes,,,,,,,,,,
select_one yes_no,received_compensation,"26.2 Have you received any cash from the government as a result of your housing, land or property compensation application?", ?? ????? ?? ????? ????? ?? ??????? ????? ????? ?????? ??? ????? ?? ????? ?? ????? ?? ???????,"selected(${applied_compensation},'yes')",,yes,,,,,,,,,,
select_one ynd1,previously_evicted,36. Was your household at any time evicted from a previous place of housing in the past year?, ?? ????? ????? ?? ?? ??? ?? ???? ??? ???? ?? ????? ???????,,,yes,,,,,,,,,,
select_one ynd1,own_land,37. Does your household own or have rights over agricultural land?, ?? ????? ????? ?? ???? ???????,,,yes,,,,,,,,,,
begin group,missing_documents_household,Missing documents houshold,,,,yes,,,,,field-list,,,,,
note,note_missing_documents_household,"27.0 Does your household have the following documents? This means you have it, it is valid, and it is stored in a secure place.", ?? ??? ????? ??????? ???????? ??? ???? ??? ???? ? ????? ?????? ?  ?  ??? ???? ?? ???? ???.,,,,,,,,,,,,,
select_one yndd,pds,27.1 PDS card,????? ??????? PDS,,,yes,,,,,,,,,,
select_one yndd,info_card,27.2 Information card,????? ????????? ( ???? ???????),,,yes,,,,,,,,,,
select_one yndd,death_certificate,27.3 Death certificate,????? ??????,,,yes,,,,,,,,,,
select_one yndd,guardianship,27.4 Guardianship certificate,????? ???????,,,yes,,,,,,,,,,
select_one yndd,inheritance,27.5 Inheritance deed,?? ???????,,,yes,,,,,,,,,,
select_one yndd,trusteeship,27.6 Trusteeship certificate,????? ???? (????????),,,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,missing_documents_above_18,Missing documents above 18,,,,yes,,,,,field-list,,,,For EVERY person in HH ABOVE 18!,??? ??????? ?? ?????? ??? ??18 ???
note,note_missing_documents_above_18,"28.0 Does every person above 18 in your household have the following documents? This means you have it, it is valid, and it is stored in a secure place. ", ?? ??? ?? ??? ??? 18 ????? ?? ????? ??????? ???????? ??? ???? ??? ???? ? ??? ???? ?  ?  ??? ???? ?? ???? ???.,,,,,,,,,,,,,
select_one yndd,passport_a18,28.1 Passport,???? ?????,,,yes,,,,,,,,,,
select_one yndd,id_card_a18,28.2 National ID card,????? ?????? ???????,,,yes,,,,,,,,,,
select_one yndd,citizenship_a18,28.3 Citizenship certificate,????? ???????,,,yes,,,,,,,,,,
select_one yndd,birth_cert_a18,28.4 Birth certificate,????? ???????,"selected(${id_card_a18},'no')",,yes,,,,,,,,,,
select_one missing_docs_a18,school_cert_a18,28.5 School certificate,????? ??????,,,yes,,,,,,,,,,
select_one missing_docs_a18,marriage_cert_a18,28.6 Marriage license,??? ????,,,yes,,,,,,,,,,
select_one missing_docs_a18,divorce_cert_a18,28.7 Divorce license,???? ????,,,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,missing_documents_under_18,Missing documents under 18,,,,yes,,,,,field-list,,,,For EVERY person in HH UNDER 18!,??? ??????? ?? ?????? ??? ??18 ???
note,note_missing_documents_under_18,"29.0 Does every person under 18 in your household have the following documents? This means you have it, it is valid, and it is stored in a secure place. ", ?? ??? ?? ??? ??? ?? ?? 18 ????? ?? ????? ??????? ???????? ??? ???? ??? ???? ? ??? ???? ?  ?  ??? ???? ?? ???? ???.,,,,,,,,,,,,,
select_one yndd_u18,passport_u18,29.1 Passport,???? ?????,,,yes,,,,,,,,,,
select_one yndd_u18,id_card_u18,29.2 National ID card,????? ?????? ???????,,,yes,,,,,,,,,,
select_one yndd_u18,citizenship_u18,29.3 Citizenship certificate,????? ???????,,,yes,,,,,,,,,,
select_one yndd_u18,birth_cert_u18,29.4 Birth certificate,????? ???????,"selected(${id_card_u18},'no')",,yes,,,,,,,,,,
select_one missing_docs_u18,marriage_cert_u18,29.6 Marriage license,????? ??????,,,yes,,,,,,,,,,
select_one missing_docs_u18,divorce_cert_u18,29.7 Divorce license,??? ????,,,yes,,,,,,,,,,
end group,,,???? ????,,,,,,,,,,,,,
integer,birth_cert_missing_amount_u1,"30.0 If no, how many persons under 1 year don't have their birth certificate? ", ??? ??? ?????? ?????? ? ??? ?? ??????? ????? ??? ??????? ?? ??? ????? ?? ?????? ????? ????????,"selected(${birth_cert_u18},'no')",.<${num_hh_member},yes,,Number cannot be bigger than household size,,,,,,,,
integer,birth_cert_missing_amount_a1,"30.1 If no, how many persons between 1 and 17 year don't have their birth certificate?

",??? ???? ?? ??? ??????? ????? ?????? ??????? ??? ????? ???17 ??? ??? ?? ?????? ????? ??????? ( ???? ???????)?,"selected(${birth_cert_u18},'no')",.<(${num_hh_member}-${birth_cert_missing_amount_u1}),yes,,Number cannot be bigger than household size,,,,,,,,
integer,id_card_missing_amount,"31.0 If no, how many persons under 18 don't have their national ID? ", ??? ???? ??????? ?? ? ??? ??? ??????? ????? ??? ??????? ?? 18 ????? ??? ?? ?????? ????? ???? ??????,"selected(${id_card_u18},'no')",.<${num_hh_member},yes,,Number cannot be bigger than household size,,,,,,,,
