"survey","uuid","log_date","governorate","location_id","location_name","district","ngo","ngo_name","enumerator","question.name","issue","feedback","action","changed","old.value","new.value"
NA,"8e241210-f87a-4da0-a4c7-f1edfb0dc611",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"20e26df9-cb0a-4687-9e90-a783b7f3c888",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"bacb6afb-e59d-4f0f-acf2-a971531241a0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"e0247037-60c6-4a1a-96c4-23fdb0ea7aec",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"b6f343c1-86f2-4970-afe2-6a71f8327add",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"684f9b28-1bc5-4972-8ea8-4c5f6ca252ba",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"65a5bb33-7eb8-4850-9856-22a625e31698",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"6df0bbb6-5757-4b60-aec3-ede4d01eff51",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"7f7a8f63-3144-48d3-aadb-7816eb853aa1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"2e867b9c-bc20-4a81-bd6d-cbc3904713d5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"2c7b0192-839f-4774-8cf6-1ec222a0e527",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"6bfdd5e5-0b99-40cd-a11c-2c89fdededd9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"de3f26b8-cc65-4666-906a-c9760e2d27ff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"002a4dee-bda9-4c71-8447-e0296c0a784f",NA,NA,NA,NA,NA,NA,NA,NA,NA,"this was confirmed being a test survey",NA,"deletion",NA,NA,NA
NA,"4cc6d310-465e-49ef-8b47-2145cd5b9278",NA,NA,NA,NA,NA,NA,NA,NA,"calc_host","Host is interviewed in location that is not in the sample, keeping as reserve for potential use if there are not enough surveys elsewhere in this district (Adhamia).","cannot be used","deletion",NA,NA,NA
NA,"fc9c773a-7313-40ad-ab66-c617505564e0",NA,NA,NA,NA,NA,NA,NA,NA,"calc_host","Host is interviewed in location that is not in the sample, keeping as reserve for potential use if there are not enough surveys elsewhere in this district (Adhamia).","cannot be used","deletion",NA,NA,NA
NA,"03cc4f24-fd40-4e29-bd30-f432710bfa1c",NA,NA,NA,NA,NA,NA,NA,NA,"calc_host","Host is interviewed in location that is not in the sample, keeping as reserve for potential use if there are not enough surveys elsewhere in this district (Adhamia).","cannot be used","deletion",NA,NA,NA
NA,"5fcfe540-a20e-49a2-ab82-615933a2c275",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0553","cluster_location_id_0554"
NA,"0e495fe0-62bb-462a-bc72-9a51f723a8cd",NA,NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","wrong cluster selected, the right one is checked with the gps points",NA,"change",TRUE,"cluster_location_id_0553","cluster_location_id_0554"
NA,"477c6724-ea69-4d9f-acdb-ee49b475de8f",NA,NA,NA,NA,NA,NA,NA,NA,"calc_idp","IDP is interviewed in location that is not in the sample for IDP (but for returnee), keeping as reserve for potential use if there are not enough surveys elsewhere in this district (Ana).","cannot be used","deletion",NA,NA,NA
NA,"774f7152-c484-4445-a594-83b96806ca02",NA,NA,NA,NA,NA,NA,NA,NA,"calc_idp","IDP is interviewed in location that is not in the sample for IDP (but for returnee), keeping as reserve for potential use if there are not enough surveys elsewhere in this district (Ana).","cannot be used","deletion",NA,NA,NA
NA,"4699dcf7-bd41-4489-b57f-9f598a3f4163",NA,NA,NA,NA,NA,NA,NA,NA,"ngo","Partner 7 in Kirkuk started doing interviews without having received the kml files, so they are interviewing wrong people in the wrong place, also they do very few, have more issues and don't listen to our feedback. To be removed later but kept for potential use if we end up with too few other interviews.",NA,"deletion",NA,NA,NA
NA,"de677e6c-0ab0-4567-8465-36b9199f1080",NA,NA,NA,NA,NA,NA,NA,NA,"ngo","Partner 7 in Kirkuk started doing interviews without having received the kml files, so they are interviewing wrong people in the wrong place, also they do very few, have more issues and don't listen to our feedback. To be removed later but kept for potential use if we end up with too few other interviews.",NA,"deletion",NA,NA,NA
NA,"4ff717d6-fdaf-4251-8b93-5bbf262c2296",NA,NA,NA,NA,NA,NA,NA,NA,"ngo","Partner 7 in Kirkuk started doing interviews without having received the kml files, so they are interviewing wrong people in the wrong place, also they do very few, have more issues and don't listen to our feedback. To be removed later but kept for potential use if we end up with too few other interviews.",NA,"deletion",NA,NA,NA
NA,"5d1b9ee7-a94d-4d29-9b3c-5d5b77402e55",NA,NA,NA,NA,NA,NA,NA,NA,"ngo","Partner 7 in Kirkuk started doing interviews without having received the kml files, so they are interviewing wrong people in the wrong place, also they do very few, have more issues and don't listen to our feedback. To be removed later but kept for potential use if we end up with too few other interviews.",NA,"deletion",NA,NA,NA
NA,"765c2ed2-7137-48c0-963f-dc9838a1b683",NA,NA,NA,NA,NA,NA,NA,NA,"ngo","Partner 7 in Kirkuk started doing interviews without having received the kml files, so they are interviewing wrong people in the wrong place, also they do very few, have more issues and don't listen to our feedback. To be removed later but kept for potential use if we end up with too few other interviews.",NA,"deletion",NA,NA,NA
NA,"ddf625b1-d999-4c42-84ba-f93144e6e7af","04-07-19",NA,NA,NA,NA,NA,NA,NA,"ngo","Partner 7 in Kirkuk started doing interviews without having received the kml files, so they are interviewing wrong people in the wrong place, also they do very few, have more issues and don't listen to our feedback. To be removed later but kept for potential use if we end up with too few other interviews.",NA,"deletion",NA,NA,NA
NA,"5c933f8c-76b8-473d-86bb-b72aeedb8dbf","04-07-19",NA,NA,NA,NA,NA,NA,NA,"ngo","Partner 7 in Kirkuk started doing interviews without having received the kml files, so they are interviewing wrong people in the wrong place, also they do very few, have more issues and don't listen to our feedback. To be removed later but kept for potential use if we end up with too few other interviews.",NA,"deletion",NA,NA,NA
NA,"b47ea7ef-74c4-4215-adc4-518e8dc496ba","04-07-19",NA,NA,NA,NA,NA,NA,NA,"ngo","Host interviewed in IDP location. To be kept for now but probably to be deleted later","cannot be used","deletion",NA,NA,NA
NA,"ddbdbd23-cae1-4fbf-a4de-2ab84cd5b016","04-07-19",NA,NA,NA,NA,NA,NA,NA,"calc_returnee","Returnee interviewed in IDP cluster. Keeping for now but deleting later if we have enough.","cannot be used","deletion",NA,NA,NA
NA,"1fbcc377-f7db-4c5e-a4c9-6d78ef3ef65c","04-07-19",NA,NA,NA,NA,NA,NA,NA,"calc_idp","IDP interviewed in Returnee cluster (IOM). Keeping for now but deleting later if we have enough.","not needed","deletion",NA,NA,NA
NA,"5df86bc2-8e33-421e-8616-9373eb5748fe","04-07-19",NA,NA,NA,NA,NA,NA,NA,"calc_idp","IDP interviewed in Returnee cluster (IOM). Keeping for now but deleting later if we have enough.","not needed","deletion",NA,NA,NA
NA,"3014dd11-9739-4897-a6f5-ee25384cbdd7","04-07-19",NA,NA,NA,NA,NA,NA,NA,"calc_idp","IDP interviewed in Returnee cluster (IOM). Keeping for now but deleting later if we have enough.","not needed","deletion",NA,NA,NA
NA,"e308fb1a-8e0d-4ce0-b970-b9805eadb607","04-07-19",NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","Wrong cluster selected. GPS points in other cluster which also corresponds to a locations assigned to this partner.",NA,"change",TRUE,"cluster_location_id_0422","cluster_location_id_0399"
NA,"e00dc922-9bb9-4e0a-bd4f-091f08b892b1","04-07-19",NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","Wrong cluster selected. GPS points in other cluster which also corresponds to a locations assigned to this partner.",NA,"change",TRUE,"cluster_location_id_0422","cluster_location_id_0399"
NA,"d4eca10a-af74-4037-bb35-d1d16625cde8","04-07-19",NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","Wrong cluster selected. GPS points in other cluster which also corresponds to a locations assigned to this partner.",NA,"change",TRUE,"cluster_location_id_0422","cluster_location_id_0399"
NA,"e742feaa-7713-4baf-9269-57a2c2fe9b2f","04-07-19",NA,NA,NA,NA,NA,NA,NA,"cluster_location_id","Wrong cluster selected. GPS points in other cluster which also corresponds to a locations assigned to this partner.",NA,"change",TRUE,"cluster_location_id_0554","cluster_location_id_0563"
NA,"e742feaa-7713-4baf-9269-57a2c2fe9b2f","04-07-19",NA,NA,NA,NA,NA,NA,NA,"ngo","Wrong NGO selected. Checked with device ID which ngo it had to be",NA,"change",TRUE,"mcna15","mcna14"
NA,"460116b9-af1b-47b1-a5b2-2c4a19ca97c0","04-07-19",NA,NA,NA,NA,NA,NA,NA,"calc_host","Host interviewed in IDP location. To be kept for now but probably to be deleted later","cannot be used","deletion",NA,NA,NA
"parent","2e0e0a34-54bf-4671-9ec6-d14f43d75467","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna17","REACH Iraq",2,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","538a902a-5939-48ce-beb2-fe25330c0328","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna17","REACH Iraq",2,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","88b6df10-f94b-4a94-be59-44743c2fce0e","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna17","REACH Iraq",2,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","7676988b-56cd-456a-9e85-4c1289135763","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna17","REACH Iraq",1,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","26d78b1a-f782-41d5-892c-e165dfa96e5e","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna17","REACH Iraq",1,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","6766c0b8-d127-4cbe-a328-6c832c06f846","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna17","REACH Iraq",1,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","5da1b0f4-aa8b-4fb9-be7e-73b57611e01b","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna17","REACH Iraq",3,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","b49a312c-505e-4243-8f90-38e9b40182a8","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna17","REACH Iraq",3,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","0ee216a6-5d41-46c4-b7f0-4cc483ed05ec","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna17","REACH Iraq",3,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","c0fff9ea-fe53-4c34-9751-71a0cab30814","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna17","REACH Iraq",4,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","7782ffc8-5ee5-4873-bda5-6b7b3b7a205a","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna17","REACH Iraq",4,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","9c8c7fc2-bfb9-46f1-8686-3591f5924962","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna17","REACH Iraq",4,"ngo","The REACH team in Wassit selected the wrong NGO. They selected REACH Iraq instead of REACH Initiative",NA,"change",TRUE,"mcna17","mcna16"
"parent","005dfedb-01ed-46d2-95a0-01e7ddab92a8","07-07-19","baghdad","cluster_location_id_0354","0354 (Adhamia-312)","al.adhamiya","mcna02","ACTED",19,"cluster_location_id","Strange location, is the wrong location selected? Follow up needed. Also very late uploaded (almost a week).","Changed to the location close by (only 500m), it's same population group (IDP)","change",TRUE,"cluster_location_id_0354","cluster_location_id_0372"
"parent","f7d3c66b-23c2-4b48-9dcb-e10c7e302deb","07-07-19","baghdad","cluster_location_id_0422","0422 (Hai Al Qadessia-1)","al.kadhmiyah","mcna06","IOM",5,"cluster_location_id","Wrong cluster selected, checked with gps coordinates and other clusters assessed that day.",NA,"change",TRUE,"cluster_location_id_0422","cluster_location_id_0399"
"parent","72f65fc8-96d3-4667-ae5d-2b8e32da3ca8","07-07-19","baghdad","cluster_location_id_0422","0422 (Hai Al Qadessia-1)","al.kadhmiyah","mcna06","IOM",5,"cluster_location_id","Wrong cluster selected, checked with gps coordinates and other clusters assessed that day.",NA,"change",TRUE,"cluster_location_id_0422","cluster_location_id_0399"
"parent","11bf3e23-711b-4026-a099-6605a2e5d14e","07-07-19","al.anbar","cluster_location_id_0219","0219 (Al Askaree)","al.rutba","mcna06","IOM",1,"cluster_location_id","Wrong cluster selected (selected one is in Rutba instead of Haditha), need to check with partner which one it is.","checked which ones they suppose to belong to and recoded","change",TRUE,"cluster_location_id_0219","cluster_location_id_0280"
"parent","9b4f5b82-7483-4450-9225-9e6dab0265ee","07-07-19","al.anbar","cluster_location_id_0219","0219 (Al Askaree)","al.rutba","mcna06","IOM",3,"cluster_location_id","Wrong cluster selected (selected one is in Rutba instead of Haditha), need to check with partner which one it is.","checked which ones they suppose to belong to and recoded","change",TRUE,"cluster_location_id_0219","cluster_location_id_0280"
"parent","1c3fdd67-e548-48ad-ba10-b62eda254f4b","07-07-19","al.anbar","cluster_location_id_0219","0219 (Al Askaree)","al.rutba","mcna06","IOM",3,"cluster_location_id","Wrong cluster selected (selected one is in Rutba instead of Haditha), need to check with partner which one it is.","checked which ones they suppose to belong to and recoded","change",TRUE,"cluster_location_id_0219","cluster_location_id_0278"
"parent","afb82471-5a66-41c8-8364-3a68ba37ba8e","07-07-19","al.anbar","cluster_location_id_0219","0219 (Al Askaree)","al.rutba","mcna06","IOM",3,"cluster_location_id","Wrong cluster selected (selected one is in Rutba instead of Haditha), need to check with partner which one it is.","checked which ones they suppose to belong to and recoded","change",TRUE,"cluster_location_id_0219","cluster_location_id_0278"
"parent","03af1552-97b9-453d-bdb0-7abf1542cd24","07-07-19","al.anbar","cluster_location_id_0219","0219 (Al Askaree)","al.rutba","mcna06","IOM",2,"cluster_location_id","Wrong cluster selected (selected one is in Rutba instead of Haditha), need to check with partner which one it is.","checked which ones they suppose to belong to and recoded","change",TRUE,"cluster_location_id_0219","cluster_location_id_0280"
"parent","1e500ffa-51ea-4c3a-bfee-f28fb177e26f","07-07-19","al.anbar","cluster_location_id_0219","0219 (Al Askaree)","al.rutba","mcna06","IOM",2,"cluster_location_id","Wrong cluster selected (selected one is in Rutba instead of Haditha), need to check with partner which one it is.","checked which ones they suppose to belong to and recoded","change",TRUE,"cluster_location_id_0219","cluster_location_id_0278"
"parent","93d393af-374b-406a-9ec2-976e72d18fcf","07-07-19","al.anbar","cluster_location_id_0219","0219 (Al Askaree)","al.rutba","mcna06","IOM",2,"cluster_location_id","Wrong cluster selected (selected one is in Rutba instead of Haditha), need to check with partner which one it is.","checked which ones they suppose to belong to and recoded","change",TRUE,"cluster_location_id_0219","cluster_location_id_0278"
"parent","ff0b1b06-02e0-470b-a632-81483deb567e","07-07-19","baghdad","cluster_location_id_0354","0354 (Adhamia-312)","al.adhamiya","mcna02","ACTED",19,"cluster_location_id","Wrong cluster selected. Checked with GPS and cluster changed accordingly.",NA,"change",TRUE,"cluster_location_id_0354","cluster_location_id_0372"
"parent","aa867f2f-668c-4b7b-a3f8-7f81cd1694e9","07-07-19","baghdad","cluster_location_id_0354","0354 (Adhamia-312)","al.adhamiya","mcna02","ACTED",20,"cluster_location_id","Wrong cluster selected. Checked with GPS and cluster changed accordingly.",NA,"change",TRUE,"cluster_location_id_0354","cluster_location_id_0372"
"parent","1fb56e2a-b322-4c67-a06a-c89306f7bfc0","07-07-19","baghdad","cluster_location_id_0364","0364 (Hay Ur-325)","al.adhamiya","mcna02","ACTED",13,"cluster_location_id","Wrong cluster selected. Checked with GPS and cluster changed accordingly.",NA,"change",TRUE,"cluster_location_id_0364","cluster_location_id_0366"
"parent","5da1b0f4-aa8b-4fb9-be7e-73b57611e01b","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna16","REACH Initiative",3,"cluster_location_id","Wrong cluster selected and all interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","change",TRUE,"cluster_location_id_0893","cluster_location_id_0911"
"parent","b49a312c-505e-4243-8f90-38e9b40182a8","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna16","REACH Initiative",3,"cluster_location_id","Wrong cluster selected and all interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","change",TRUE,"cluster_location_id_0893","cluster_location_id_0911"
"parent","0ee216a6-5d41-46c4-b7f0-4cc483ed05ec","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna16","REACH Initiative",3,"cluster_location_id","Wrong cluster selected and all interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","change",TRUE,"cluster_location_id_0893","cluster_location_id_0911"
"parent","c0fff9ea-fe53-4c34-9751-71a0cab30814","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna16","REACH Initiative",4,"cluster_location_id","Wrong cluster selected and all interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","change",TRUE,"cluster_location_id_0893","cluster_location_id_0911"
"parent","7782ffc8-5ee5-4873-bda5-6b7b3b7a205a","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna16","REACH Initiative",4,"cluster_location_id","Wrong cluster selected and all interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","change",TRUE,"cluster_location_id_0893","cluster_location_id_0911"
"parent","9c8c7fc2-bfb9-46f1-8686-3591f5924962","07-07-19","wassit","cluster_location_id_0893","0893 (Hay Al-Jihad)","al.suwaira","mcna16","REACH Initiative",4,"cluster_location_id","Wrong cluster selected and all interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","change",TRUE,"cluster_location_id_0893","cluster_location_id_0911"
"parent","2e0e0a34-54bf-4671-9ec6-d14f43d75467","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna16","REACH Initiative",2,"cluster_location_id","All interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","flag",NA,"cluster_location_id_0907",NA
"parent","538a902a-5939-48ce-beb2-fe25330c0328","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna16","REACH Initiative",2,"cluster_location_id","All interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","flag",NA,"cluster_location_id_0907",NA
"parent","88b6df10-f94b-4a94-be59-44743c2fce0e","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna16","REACH Initiative",2,"cluster_location_id","All interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","flag",NA,"cluster_location_id_0907",NA
"parent","7676988b-56cd-456a-9e85-4c1289135763","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna16","REACH Initiative",1,"cluster_location_id","All interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","flag",NA,"cluster_location_id_0907",NA
"parent","26d78b1a-f782-41d5-892c-e165dfa96e5e","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna16","REACH Initiative",1,"cluster_location_id","All interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","flag",NA,"cluster_location_id_0907",NA
"parent","6766c0b8-d127-4cbe-a328-6c832c06f846","07-07-19","wassit","cluster_location_id_0907","0907 (Hay Al-Hawaraa 3)","al.kut","mcna16","REACH Initiative",1,"cluster_location_id","All interviews at the same point, check with team.","keep, probably an issue with capturing the gps measurement at the wrong moment.","flag",NA,"cluster_location_id_0907",NA
"parent","30e7b3f0-c344-43cc-bcf6-2f574ce4badc","07-07-19","kirkuk","cluster_location_id_0607","0607 (Hay Al-Askary 2)","kirkuk","mcna07","IRC",1504,"calc_host","Host population interviewed in location for returnee","Unreliable data, to be deleted","deletion",NA,"1",NA
"parent","86287acf-0975-4df5-b018-4abf79037d15","07-07-19","kirkuk","cluster_location_id_0607","0607 (Hay Al-Askary 2)","kirkuk","mcna07","IRC",1504,"calc_host","Host population interviewed in location for returnee","Unreliable data, to be deleted","deletion",NA,"1",NA
"parent","8cea3b20-4c5f-4958-9f5e-c468aaa7f2f7","07-07-19","al.anbar","cluster_location_id_0279","0279 (Hay Al Haqlaniyah Qadim)","haditha","mcna06","IOM",6,"calc_host","Host population interviewed in location for idp","not usable","deletion",NA,"1",NA
"parent","51abcad9-26b3-454b-8bc4-8251827752e9","07-07-19","duhok","cluster_location_id_0001","0001 (Amedi)","al.amadiya","mcna16","REACH Initiative",7,NA,"Test surveys done by Duhok team, confirmed by skype.",NA,"deletion",NA,NA,NA
"parent","0db1721a-cccc-417e-9606-a3f3b2a504fe","07-07-19","duhok","cluster_location_id_0001","0001 (Amedi)","al.amadiya","mcna16","REACH Initiative",11,NA,"Test surveys done by Duhok team, confirmed by skype.",NA,"deletion",NA,NA,NA
"parent","add1f651-7d5e-443a-9735-adbe71029afe","07-07-19","duhok","cluster_location_id_0001","0001 (Amedi)","al.amadiya","mcna16","REACH Initiative",11,NA,"Test surveys done by Duhok team, confirmed by skype.",NA,"deletion",NA,NA,NA
